Angle,Amp_laser,Amp_Kinect,Freq_laser,Freq_Kinect
DEG,mm,mm,Hz,Hz
90,4.7501,4.7124,3.0273,3.0469
80,4.6459,4.6381,3.0273,3.0469
75,4.6118,4.6643,3.0273,3.0469
70,4.3976,5.0132,3.0279,3.0469
65,4.2716,6.2669,3.0273,3.0469
60,4.2416,4.9897,3.0273,3.0469
55,3.7292,2.2535,3.0273,3.0469
50,3.6281,2.1950,3.0273,3.0469
45,3.0601,1.9804,2.9297,4.5703
