Angle,Amp_laser,Amp_Kinect,Freq_laser,Freq_Kinect
DEG,mm,mm,Hz,Hz
90,3.5741,3.4960,2.9297,3.0469
85,3.5706,3.8378,2.9297,3.0469
80,3.4870,3.7553,2.9297,3.0469
75,3.4880,4.5961,2.9297,3.0469
70,3.3583,3.5565,2.9297,3.0469
65,3.2276,4.8780,2.9297,3.0469
60,3.1240,4.6831,2.9297,3.0469
55,2.7975,5.0328,2.9297,3.0469
