Angle,Amp_laser,Amp_Kinect,Freq_laser,Freq_Kinect
DEG,mm,mm,Hz,Hz
90,3.5741,3.3344,2.9297,3.0469
85,3.5706,3.3560,2.9297,3.0469
80,3.4870,3.2690,2.9297,3.0469
75,3.4880,3.2395,2.9297,3.0469
70,3.3583,3.0910,2.9297,3.0469
65,3.2276,3.3153,2.9297,3.0469
60,3.1240,3.1059,2.9297,3.0469
55,2.7975,2.8357,2.9297,3.0469
